Reservior name,dam name,river,main basin,sub basin,near city,administration city,COUNTRY,secondary country,YEAR,dam height,dam length,AREA(sqkm),AREA(polygonal),CAPITAL EXPENDITURE,DEPTH(m),AVG DISPLACEMENT OF WATER,CATCHMENT area in sqkm,MAIN_USAGE,"MULTI_DAMS,C,10",TIMELINE(status),status,longitude,latitude
,Kouna,,Niger,Gorouol,Kouna,Oudalan,Burkina Faso,,1978,-99,-99,1.1,1.1,1,0.9,1,1043,Water supply,,,4: Poor,0.030417,14.844583
,Sitenga,,Niger,Gorouol,Seytenga,Seno,Burkina Faso,,1978,-99,-99,3.2,3.2,10,3.1,79,388,Water supply,,,3: Fair,0.300417,13.967917
,Goronye,Rima,Niger,Rima,Gorroye,Sokoto,Nigeria,,1983,20,-99,107.4,107.4,974,9.1,83202,30695,Irrigation,,,3: Fair,5.882083,13.512083
,Jibiya,Gada,Niger,Bunsuru,Katsina,Katsina,Nigeria,,1990,22,-99,17.6,17.6,142.7,8.1,8459,3546,Irrigation,,,3: Fair,7.237917,13.072917
,Bakolori,Sokoto,Niger,Sokoto,Sokoto,Sokoto,Nigeria,,1978,48,-99,43.7,43.7,450,10.3,20425,4760,Irrigation,,,2: Good,6.18625,12.512083
,Gari,Gari,Lake Chad,Hadedja,Danbatta,Kano,Nigeria,,1980,22,-99,18.1,18.1,214,11.8,3145,980,Irrigation,,,2: Good,8.317083,12.45375
,Zobe,Karaduwa,Niger,Bunsuru,Musawa,Katsina,Nigeria,,1983,19,-99,28.8,28.8,177,6.1,9116,2517,Irrigation,,,2: Good,7.465417,12.36625
,Boudieri,,Niger,,Boudieri,,Burkina Faso,,1963,-99,-99,1.3,1.3,4.2,3.2,602,1358,Irrigation,,,3: Fair,1.662917,12.32375
,Tomas,Tomas,Lake Chad,Hadedja,Kunya,Kano,Nigeria,,1976,14,-99,5.6,5.6,60.3,10.8,2150,705,Irrigation,,,2: Good,8.525417,12.30375
,Watari,Watari,Lake Chad,Hadedja,Bichi,Kano,Nigeria,,1980,20,-99,15.1,15.1,104.6,6.9,2502,656,Irrigation,,,2: Good,8.154583,12.182917
,Gusau,Sokoto,Niger,Sokoto,Gusau,Sokoto,Nigeria,,-99,22,-99,0.9,0.9,3,3.3,191,47,Irrigation,,,3: Fair,6.642083,12.162083
,Jekara,Jekara,Lake Chad,Hadedja,Minjibir,Kano,Nigeria,,1976,14,-99,12.6,12.6,65,5.2,1563,564,Irrigation,,,3: Fair,8.687917,12.137083
,Tapoa,,Niger,,Tapoa,Tapoa,Burkina Faso,,1950,-99,-99,2.3,2.3,5.5,2.4,1334,2461,Irrigation,,,3: Fair,1.762917,12.12875
,Fada 1,,Niger,,Fada,Gourma,Burkina Faso,,1951,-99,-99,0.6,0.6,4.6,7.7,223,122,Water supply,,,3: Fair,0.36875,12.069583
,Guzu Guzu,Guzu Guzu,Lake Chad,Hadedja,Gwarzo,Kano,Nigeria,,1979,17,-99,4.5,4.5,24.6,5.5,464,110,Irrigation,,,2: Good,8.129583,11.957917
,Magaga,Magaga,Lake Chad,Hadedja,Gwarzo,Kano,Nigeria,,1980,19,-99,1.9,1.9,19.7,10.4,548,122,Irrigation,,,2: Good,8.04625,11.95375
,Marashi,Marashi,Lake Chad,Hadedja,Gwarzo,Katsina,Nigeria,,1980,11,-99,0.2,0.2,6.8,34,232,46,Irrigation,,,4: Poor,7.827083,11.932917
,Pada,,Lake Chad,Hadedja,Gwarzo,Kano,Nigeria,,1980,14,-99,2.6,2.6,12,4.6,316,63,Irrigation,,,2: Good,7.887917,11.92875
,Karaye,Kurma,Lake Chad,Hadedja,Karaye,Kano,Nigeria,,1971,15,-99,1.3,1.3,17.2,13.2,432,84,Water supply,,,2: Good,8.029583,11.820417
,Challawa Gorge Dam,Challawa,Lake Chad,Hadedja,Kano,Kano,Nigeria,,1992,42,-99,65.2,65.2,930,14.3,21132,3844,Irrigation,,,3: Fair,8.025417,11.724583
,Kafin Chiri,Jatau,Lake Chad,Hadedja,Sumaila,Kano,Nigeria,,1977,16,-99,4.2,4.2,31.1,7.4,1137,236,Irrigation,,,2: Good,8.850417,11.612083
,Eagauda,Kano,Lake Chad,Hadedja,Tiga,Kano,Nigeria,,1970,20,-99,1.7,1.7,22.1,13,876,207,Irrigation,,,2: Good,8.377083,11.585417
,Ruwan Kanya,Kanya,Lake Chad,Hadedja,Kano,Kano,Nigeria,,1976,22,-99,4.5,4.5,33,7.3,607,131,Irrigation,,,2: Good,8.447083,11.50375
,Tiga,Kano,Lake Chad,Hadedja,Chiroma,Kano,Nigeria,,1974,48,-99,108.3,108.3,1968,18.2,40106,6570,Irrigation,,,3: Fair,8.404583,11.46375
,Tudun Wada,,Lake Chad,Hadedja,Tudun Wada,Kano,Nigeria,,1977,21,-99,2.1,2.1,20.8,9.9,385,88,Irrigation,,,2: Good,8.427917,11.27625
,Zaria,Galma,Niger,Kaduna,Zaria,Kaduna,Nigeria,,1975,15,-99,5.1,5.1,15.9,3.1,16206,3189,Water supply,,,2: Good,7.760417,11.135417
,Kompienga,Ouale,Volta,Oti,Kompienga,Gourma,Burkina Faso,,1984,50,-99,134,134,2000,14.9,16915,5927,Hydroelectricity,,,3: Fair,0.700417,11.087083
,Kangimi,Kangimi,Niger,Kaduna,Kaduna,Kaduna,Nigeria,,1977,19,-99,7.8,7.8,59.2,7.6,1793,366,Irrigation,,,2: Good,7.59625,10.64125
,Biu,Divama,Niger,Gongola,Biu,Borno,Nigeria,,-99,-99,-99,1.5,1.5,11.9,7.9,363,157,Irrigation,,,3: Fair,12.09125,10.637917
,White Volta,White Volta,West Coast,Oti,Walewale,Savanes,Togo,,-99,-99,-99,0.2,0.2,6.6,33,8,2,,,,3: Fair,0.680417,10.595417
,Kubli,Svasei,Niger,,Babana,Niger,Nigeria,,1992,17,-99,0.9,0.9,75,83.3,2328,665,Irrigation,,,4: Poor,4.117083,10.47875
,Swashi,Swashi,Niger,,Babana,Niger,Nigeria,,1992,9,-99,1.2,1.2,16,13.3,3003,878,Irrigation,,,3: Fair,4.200417,10.445417
,Gubi,,Niger,Gongola,Bauchi,Bauchi,Nigeria,,-99,27,-99,6.7,6.7,38.4,5.7,1320,183,Water supply,,,3: Fair,9.875417,10.424583
,Kontagora,Kontagora,Niger,,Kontagora,Niger,Nigeria,,-99,32,-99,2.4,2.4,340,141.7,658,147,Irrigation,,,4: Poor,5.34625,10.407917
,Waya,Waya,Niger,Gongola,Bauchi,Bauchi,Nigeria,,-99,23,-99,0.4,0.4,21,52.5,897,133,Irrigation,,,4: Poor,10.012917,10.34625
,Dadin Kowa,Gongola,Niger,Gongola,Shani,Bauchi,Nigeria,,1988,42,-99,150.5,150.5,2855,19,130573,32295,Irrigation,,,2: Good,11.479583,10.32375
,Shiroro,Kaduna,Niger,Kaduna,Minna,Niger,Nigeria,,1984,125,-99,271.1,271.1,7000,25.8,226303,34798,Hydroelectricity,,,3: Fair,6.837083,9.972083
,Balanga,Balanga,Niger,Gongola,Dadyia,Bauchi,Nigeria,,1987,41,-99,6.5,6.5,73,11.2,512,291,Irrigation,,,2: Good,11.602083,9.922917
Kainji,Kainji,Niger,Niger,,Kainji,Niger,Nigeria,,1968,79,-99,1034.8,1034.8,15000,14.5,491247,1571130,Hydroelectricity,,,3: Fair,4.612917,9.86625
,Ankwil,Tenti,Niger,Gongola,Bukuru,Plateau,Nigeria,,1964,26,-99,3.8,3.8,31,8.2,753,82,Hydroelectricity,,,2: Good,8.97125,9.76625
,Kiri,Gongola,Niger,Gongola,Numan,Adamawa,Nigeria,,1982,20,-99,68.5,68.5,615,9,179319,52133,Irrigation,,,3: Fair,12.012917,9.687083
,Tagwai,Tagwai,Niger,Chanchaga,Tasabo,Niger,Nigeria,,1978,25,-99,3.5,3.5,28.3,8.1,1178,168,Water supply,,,2: Good,6.65875,9.570417
,Y. Gowon,Shem,Niger,Gongola,Jos,Plateau,Nigeria,,1981,35,-99,0.8,0.8,30,37.5,293,32,Water supply,,,3: Fair,8.97125,9.445417
,Pankshin,Kwangwal,Niger,Benue,Pankshin,Plateau,Nigeria,,-99,31,-99,0.5,0.5,5,10,130,16,Water supply,,,3: Fair,9.40875,9.312083
,Suleja,Iku,Niger,Gurara,Suleja,Niger,Nigeria,,-99,28,-99,4.9,4.9,52,10.6,1207,140,Irrigation,,,3: Fair,7.237917,9.224583
,Jebra,Niger,Niger,,Jebba,Kwara,Nigeria,,1984,40,-99,274.7,274.7,3600,13.1,631992,1610750,Hydroelectricity,,,3: Fair,4.787917,9.14125
,Lantang,Yolyem,Niger,Benue,Langtang,Plateau,Nigeria,,1979,19,-99,0.7,0.7,5.2,7.4,69,11,Water supply,,,3: Fair,9.78375,9.120417
,Jabi,Jabi,Niger,Gurara,Abuja,Federal Capital Territory,Nigeria,,1982,15,-99,1.2,1.2,6,5,483,57,Hydroelectricity,,,2: Good,7.417083,9.070417
,Lagdo,Benoue,Niger,Benue,Lagdo,Nord,Cameroon,,1983,40,-99,622.6,622.6,7800,12.5,226519,30922,Irrigation,,,3: Fair,13.689583,9.059583
,Shen,Shen,Niger,Benue,Bukuru,Plateau,Nigeria,,1979,-99,-99,1.5,1.5,3.4,2.3,1804,271,Water supply,,,3: Fair,9.529583,8.895417
,Faw Faw,Faw Faw,West Coast,Ogun,Sharki,Oyo,Nigeria,,1967,15,-99,0.1,0.1,0.7,7,258,50,Water supply,,,2: Good,3.374583,8.687083
,Asa,Kwara,Niger,,Ilorin,Kwara,Nigeria,,-99,27,-99,6,6,43,7.2,6982,916,Water supply,,,3: Fair,4.552917,8.44125
,Doma,Ohana,Niger,Benue,Wamba,Plateau,Nigeria,,1988,16,-99,6.8,6.8,37.5,5.5,1704,255,Irrigation,,,2: Good,8.300417,8.349583
,Omi,Kampe,Niger,Kampe,Pategi,Kwara,Nigeria,,-99,42,-99,25.3,25.3,300,11.9,16255,1602,Irrigation,,,3: Fair,5.637917,8.20375
,Ikere Gorge,Ogun,West Coast,Ogun,Shaki,Oyo,Nigeria,,-99,48,-99,38.9,38.9,265,6.8,29760,4720,Irrigation,,,3: Fair,3.73875,8.17875
,Oba,Oba,West Coast,Oshun,Ogbomosho,Oyo,Nigeria,,1964,13,-99,0.8,0.8,4.5,5.6,2548,347,Water supply,,,2: Good,4.19625,8.170417
,Ilauko,Ilauko,West Coast,Oueme,Save,Collines,Benin,,1979,22,-99,2.5,2.5,23.5,9.4,65,19,Water supply,,,2: Good,2.37125,8.087083
,Ero,Ero,Niger,Kampe,Ado Ekiti,Ondo,Nigeria,,1987,22,-99,3.6,3.6,20,5.6,4996,465,Irrigation,,,2: Good,5.192917,7.990417
,Erinle,Erinle,West Coast,Oshun,Oshogbo,Kwara,Nigeria,,1989,27,-99,11,11,94,8.5,11632,1219,Water supply,,,2: Good,4.534583,7.895417
,Awon,Awon,West Coast,Ogun,Oyo,Oyo,Nigeria,,1962,15,-99,0.9,0.9,9.8,10.9,3753,461,Water supply,,,2: Good,3.892083,7.882917
,Nangbeto,Mono,West Coast,Mono,Atakapame,Plateaux,Togo,Benin,1987,44,-99,128.5,128.5,1710,13.3,77402,15702,Irrigation,,,2: Good,1.43375,7.432917
,Asejire,Oshun,West Coast,Oshun,Asejire,Osun,Nigeria,,1969,26,-99,4.4,4.4,32.9,7.5,82407,7730,Water supply,,,3: Fair,4.13375,7.36625
,Oyan,Oyan,West Coast,Ogun,Abeokuta,Ogun,Nigeria,,1983,30,-99,26.6,26.6,270,10.2,54239,9166,Irrigation,,,3: Fair,3.254583,7.262083
,Obudu,Asa,Cross,,Ogoja,Cross River,Nigeria,,-99,15,-99,0.5,0.5,4.2,8.4,665,24,Irrigation,,,3: Fair,9.17125,6.615417
M'Bakaou,M'Bakaou,Djerem,Sanaga,Djerem,Tibati,Adamaoua,Cameroon,,1971,30,-99,204.8,204.8,2600,12.7,302154,20401,Hydroelectricity,,,3: Fair,12.80625,6.307917
Volta,Akosombo Main Dam,Volta,Volta,,Accra,Eastern,Ghana,,1965,114,660,6043.9,6043.9,148000,24.5,1179904,404375,Hydroelectricity,Yes,,1: Verified,0.05875,6.30375
,Afife,Kplipa,West Coast,Volta,Akatsi,Volta,Ghana,,-99,-99,-99,1.3,1.3,29.4,22.6,447,344,,,,3: Fair,0.970417,6.145417
,Kpong,Volta,Volta,,Accra,Eastern,Ghana,,1981,20,-99,25.2,25.2,200,7.9,1178252,405019,Hydroelectricity,,,2: Good,0.12125,6.124583
,Mape,Mape,Sanaga,Mbam,Banyo,Adamaoua,Cameroon,,1988,34,-99,163.9,163.9,3300,20.1,44639,2356,Hydroelectricity,,,3: Fair,11.299583,6.04125
,Dawhenya,,West Coast,Densu,Tema,Greater Accra,Ghana,,-99,-99,-99,1.8,1.8,5.8,3.2,1,499,,,,3: Fair,0.05875,5.774583
,Bamendjin,Noun,Sanaga,Mbam,Bafoussam,Ouest,Cameroon,,1974,17,-99,198.1,198.1,2000,10.1,49525,2209,Hydroelectricity,,,3: Fair,10.502083,5.70375
,Edea,Sanaga,Sanaga,,Edea,Littoral,Cameroon,,1953,15,-99,0.7,0.7,5.9,8.4,2018383,132086,Hydroelectricity,,,3: Fair,10.13375,3.832917
,Tchimbele,M'Bei,Central West Coast,Komo,N'Toum,Estuaire,Gabon,,1980,36,-99,13.7,13.7,220,16.1,35696,1153,Hydroelectricity,,,2: Good,10.407917,0.624583
,Mabubas,Dande,South West Coast,Dande,Caxito,Bengo,Angola,,1954,38,-99,6.1,6.1,61.7,10.1,59128,8800,Hydroelectricity,,,2: Good,13.707083,-8.53375
,Quiminha,Bengo,South West Coast,Bengo,Catete,Bengo,Angola,,1975,41,-99,123.1,123.1,1560,12.7,45357,7474,Irrigation,,,3: Fair,13.790417,-8.962917
,Cambambe,Cuanza,Cuanza,,Dondo,Kuanza Norte,Angola,,1963,68,-99,1,1,20,20,1042424,117313,Hydroelectricity,,,2: Good,14.484583,-9.75125
,Dungo,Cubal de Hana,South West Coast,Catumbela,Cubal,Benguela,Angola,,1988,20,-99,4.6,4.6,57,12.4,7699,1402,Irrigation,,,2: Good,14.38125,-13.204583
Calueque,Quedas do Ruacana,Cunene,South West Coast,Cunene,Chitado,Cunene,Angola,Namibia,-99,-99,-99,205.4,205.4,5034.1,24.5,324942,85291,,,Planned,4: Poor,14.214583,-17.387917
,Olushandja,Etaka Oshona,South Interior,Omuramba Ovambo,Omusati,Omusati,Namibia,,1971,-99,-99,17.4,17.4,42.3,2.4,1,946,,,,3: Fair,14.712917,-17.55875
,Omarur Delta,,South Atlantic Coast,Omaru,Henties Bay,Erongo,Namibia,,-99,-99,-99,2,2,41.3,20.6,5525,11448,,,,3: Fair,14.542917,-21.900417
,Masevatn Hoveddam,Friarfjordelv,,,Lakselv,Finnmark,Norway,,1973,27,260,13,13,183,14.1,717,57,Hydroelectricity,,,3: Fair,26.937917,70.387083
,Virdnejavri,Alta,,,Alta,Finnmark,Norway,,1987,142,135,7.6,7.6,140,18.4,72956,7653,Hydroelectricity,,,3: Fair,23.817083,69.70375
Sundvatnet,Skogfoss Inntaksdam,Skogfoss,,,,Finnmark,Norway,Russia,1964,15,-99,71.7,71.7,500,7,148617,16124,Navigation,,,2: Good,29.704583,69.36875
,Guolasjavrre,Guolasjokka,,,Tromso,Troms,Norway,,1971,27,198,12.2,12.2,140,11.5,2019,122,Hydroelectricity,,,3: Fair,21.067083,69.34625
,Rieppejavri Hoveddam,,,,,Troms,Norway,,1978,26,980,3.2,3.2,145.6,45.5,859,53,Hydroelectricity,,,3: Fair,20.59625,69.22625
,Altevatn,,,,,Troms,Norway,,1960,34,-99,107.3,107.3,1029,9.6,17086,1174,Navigation,,,3: Fair,19.854583,68.43375
Porttipahta,Porttipahta,Kitinen,,,Rovaniemi,Northern,Finland,,1970,38,3500,205.6,205.6,1353,6.6,15154,1666,Hydroelectricity,,,3: Fair,26.722083,68.10875
,Batsvatn Hoveddam,Kobbelv,,,Narvik,Nordland,Norway,,1973,43,250,20.4,20.4,159.6,7.8,3241,129,Hydroelectricity,,,3: Fair,17.775417,68.06625
Lokan Terkojarvi,Lokka,Luiro,,,Rovaniemi,Northern,Finland,,1967,20,1730,442.9,442.9,1460,3.3,41594,4862,Flood control,,,3: Fair,27.73375,67.824583
,Reinoksvatn,Kobbelv,,,Bodo,Nordland,Norway,,1986,21,480,5,5,390,78,1348,42,Hydroelectricity,,,4: Poor,16.475417,67.657917
Akkajaure,Suorvadammen,Lulealven,Lulealven,,Suorva,Norrbotten,Sweden,,1972,30,240,263.6,263.6,5900,22.4,174343,5936,Hydroelectricity,Yes,,2: Good,18.167917,67.524583
Satisjaure,Vietas,Vietasjokk,Lulealven,,Kiruna,Norrbotten,Sweden,,1966,30,1450,79.6,79.6,1260,15.8,18956,1233,Hydroelectricity,,,2: Good,18.462917,67.50375
Sisovatn Reservoir,Sisovatn North Dam,Fagerbekkelv,,,Bodo,Nordland,Norway,,1972,15,394,10.6,10.6,561,52.9,2445,76,Hydroelectricity,Yes,,2: Good,15.832917,67.33375
,Seitevare,Blackalven,Lulealven,,Porjus,Norrbotten,Sweden,,1967,106,2011,97.3,97.3,1675,17.2,48521,2257,Hydroelectricity,,,2: Good,18.57125,66.974583
Stora Lulevatten,Porjus,Lulealven,Lulealven,,Porjus,Norrbotten,Sweden,,1914,-99,-99,232.8,232.8,610,2.6,223351,10040,Hydroelectricity,,,2: Good,19.80625,66.957917
,Harspranget,Lulealven,Lulealven,,Porjus,Norrbotten,Sweden,,1952,-99,-99,2.4,2.4,6.4,2.7,224281,10154,Hydroelectricity,,,2: Good,19.825417,66.887083
,Ligga,Lulealven,Lulealven,,Porjus,Norrbotten,Sweden,,1954,-99,-99,2.6,2.6,5.4,2.1,226172,10370,Hydroelectricity,,,2: Good,19.887917,66.812083
Parkijaure,Parki,Lilla Lulealven,Lulealven,,Jokkmokk,Norrbotten,Sweden,,1970,28,-99,124.8,124.8,460,3.7,105915,5345,Hydroelectricity,,,2: Good,19.200417,66.74125
,Messaure,Lulealven,Lulealven,,Jokkmokk,Norrbotten,Sweden,,1963,-99,-99,24.2,24.2,54,2.2,234049,11316,Hydroelectricity,,,2: Good,20.337917,66.69125
Randijaure,Randi,Lilla Lulalven,Lulealven,,,Norrbotten,Sweden,,1976,-99,-99,53.7,53.7,98,1.8,115448,6271,Hydroelectricity,,,2: Good,19.400417,66.662083
,Akkats,Lilla Lulealven,Lulealven,,Jokkmokk,Norrbotten,Sweden,,1973,-99,-99,33,33,42,1.3,145279,9280,Hydroelectricity,,,2: Good,19.825417,66.64125
,Letsi,Lilla Lulealven,Lulealven,,Jokkmokk,Norrbotten,Sweden,,1967,85,608,18.5,18.5,68,3.7,149365,9720,Hydroelectricity,,,2: Good,20.354583,66.499583
,Porsi,Lulealven,Lulealven,,Jokkmokk,Norrbotten,Sweden,,1961,-99,-99,10.1,10.1,27,2.7,238393,11791,Hydroelectricity,,,2: Good,20.64625,66.449583
,Rebnisjaure,Skelleftealven,,,Arjeplog,Norrbotten,Sweden,,1974,19,460,52.1,52.1,740,14.2,32269,1462,Hydroelectricity,,,3: Fair,16.804583,66.437083
Kemijarvi,Seitakorva,Kemijoki,,,Kemijarvi,Northern,Finland,,1963,25,3490,227.7,227.7,1100,4.8,289377,29317,Hydroelectricity,,,2: Good,27.34125,66.424583
,Valajaskoski,Kemijoki,,,Rovaniemi,Northern,Finland,,1960,21,610,11.3,11.3,100.1,8.9,473066,49708,Hydroelectricity,,,3: Fair,25.537917,66.420417
,Sadvajaure,Skelleftealven,,,Arjeplog,Norrbotten,Sweden,,1985,31,-99,43.6,43.6,605,13.9,16032,950,Hydroelectricity,,,4: Poor,17.314583,66.407917
,Petajaskoski,Kemijoki,,,Rovaniemi,Northern,Finland,,1957,23,11800,27.9,27.9,115.4,4.1,478347,50231,Hydroelectricity,,,3: Fair,25.35875,66.282917
,Laxede,Lulealven,Lulealven,,Boden,Norrbotten,Sweden,,1962,-99,-99,11.6,11.6,15.1,1.3,394948,22253,Hydroelectricity,,,2: Good,20.887917,66.24375
,Ossauskoski,Kemijoki,,,,Northern,Finland,,1965,-99,-99,11.2,11.2,49.5,4.4,487389,51141,,,,3: Fair,25.175417,66.162083
,Taivalkoski,Kemijoki,,,Kemi,Northern,Finland,,1975,25,800,16.5,16.5,50,3,500817,52630,Hydroelectricity,,,3: Fair,24.70625,65.932917
,Isohaara,Kemijoki,,,Kemi,Northern,Finland,,1948,24,5150,15,15,80,5.3,507679,53524,Hydroelectricity,,,3: Fair,24.549583,65.797083
,Storavatn Bergnas,Skelleftealven,,,,Norrbotten,Sweden,,1959,-99,-99,194.8,194.8,778,4,81657,6363,Water supply,,,3: Fair,18.150417,65.60375
,Ajaure,Umealven,,,Storuman,Vasterbotten,Sweden,,1967,46,522,47.6,47.6,209,4.4,104790,3660,Hydroelectricity,,,3: Fair,15.625417,65.512083
,Gardiken,Umealven,,,Storuman,Vasterbotten,Sweden,,1963,32,1070,92.9,92.9,871,9.4,134525,4856,Hydroelectricity,,,3: Fair,15.850417,65.470417
Bastuselet,Bastusel,Skelleftealven,,,Arvidsjaur,Norbotten,Sweden,,1973,35,830,39.6,39.6,29.7,0.8,84228,6731,Hydroelectricity,,,3: Fair,18.617083,65.43875
Storjuktan,Storjuktandammen,Juktan,,,Storuman,Vasterbotten,Sweden,,1963,22,-99,75.5,75.5,575,7.6,19861,1687,Hydroelectricity,,,2: Good,17.31625,65.320417
,Ransaren,Angermanalven,,,Vilhelmina,Vasterbotten,Sweden,,1956,30,-99,21.5,21.5,414,19.3,25836,1004,Water supply,,,3: Fair,15.020417,65.224583
Storuman,Umluspen,Umealven,,,Sweden,Vasterbotten,Sweden,,1957,24,-99,158.2,158.2,1101,7,166446,7267,Hydroelectricity,,,3: Fair,17.025417,65.11625
,Vojmsjon,Vojman,,,Sweden,Vasterbotten,Sweden,,1950,16,-99,74.2,74.2,594,8,24760,1508,Water supply,,,3: Fair,16.737917,64.872083
,Dabbsjo,Saxan Fjallsjoalven,,,Ostersund,Jamtland,Sweden,,1969,-99,-99,10,10,337,33.7,19699,995,Hydroelectricity,,,3: Fair,15.43375,64.632917
Oulujarvi,Jylhama,Oulujoki,,,Oulu,Northern,Finland,,1950,15,3650,889.7,889.7,2343,2.6,206995,20773,Hydroelectricity,,,3: Fair,26.76625,64.57875
,Uljua Dams,Siikajoki,,,Oulu,Northern,Finland,,1970,16,8820,28.3,28.3,146,5.2,14346,1546,Hydroelectricity,,,3: Fair,25.87375,64.337083
,Hallby,Angermanalven,,,Solleftea,Vasternorrland,Sweden,,1970,-99,-99,42.5,42.5,1815,42.7,158634,10082,Hydroelectricity,Yes,Replacement,4: Poor,17.207917,63.90375
,Lovons,Faxalven,,,,Jamtland,Sweden,,1969,16,-99,144.9,144.9,495,3.4,102510,6261,Hydroelectricity,,,2: Good,15.642083,63.829583
Hoytiainen,Puntarikoski,Canal of Hoytiainen,,,Joensuu,Eastern,Finland,,1957,14,150,285,285,2390,8.4,5776,611,Hydroelectricity,,,2: Good,29.475417,62.825417
,Hirvijarvi,Lapuanjoki,,,Seinajoki,Western,Finland,,1974,12,9000,19.9,19.9,40,2,638,108,Hydroelectricity,,,3: Fair,23.054583,62.80375
,Kuurna,Pielisjoki,,,Joensuu,Eastern,Finland,,1970,14,850,23.7,23.7,90,3.8,226321,20878,Hydroelectricity,,,3: Fair,29.89625,62.69125
,Leringsfors,Giman,,,Sundsvall,Vasternorrland,Sweden,,1944,-99,-99,46.1,46.1,360,7.8,26348,3445,Hydroelectricity,,,3: Fair,16.420417,62.595417
,Kalajarvi,Kyronjoki,,,Seinajoki,Western,Finland,,1976,13,3150,11.5,11.5,42,3.7,132,20,Flood control,,,3: Fair,23.099583,62.555417
Pyhajarvi,Melo,Kokemaenjoki,,,Tampere,Western,Finland,,1971,33,150,119.9,119.9,699,5.8,129982,16474,Hydroelectricity,,,3: Fair,23.437917,61.462083
Saimaa,Tainionkoski,Vuoksi,,,Imatra,Southern,Finland,,1948,17,700,4342,4342,5600,1.3,617597,68116,Hydroelectricity,,,2: Good,28.779583,61.22875
,Motala,Motala Strom,,,Motala,Ostergotland,Sweden,,1921,-99,-99,25.3,25.3,170,6.7,46450,6544,Hydroelectricity,,,3: Fair,15.275417,58.555417
,Riga,Daugava,,,Riga,,Latvia,,1976,35,146,36.3,36.3,340,9.4,570308,83581,Other,,,3: Fair,24.274583,56.852083
,Kegums,Daugava,,,Ogre,,Latvia,,1947,21,508,15.3,15.3,157,10.3,553324,81526,Hydroelectricity,,,3: Fair,24.712917,56.737083
,Plyavinass,Daugava,,,Riga,,Latvia,,1965,58,214,25.4,25.4,510,20.1,547532,80778,Other,,,2: Good,25.240417,56.582083
Sea of Kupiskis,Kupiskio,Levuo,,,Kupiskis,Kupiskis,Lithuania,,1986,16,600,7,7,33.2,4.7,3100,444,Irrigation,,,2: Good,24.97125,55.85375
,Kauno,Nemunas,,,Kaunas,Kaunas,Lithuania,,1960,16,464,45.5,45.5,462,10.2,252805,44736,Hydroelectricity,,,3: Fair,24.00375,54.874583
Vilejskoye,Vilejskoye,,,,,,Belarus,,-99,-99,-99,51.4,51.4,1335.6,26,23702,4164,,,,3: Fair,26.972083,54.495417
,Koronowo,Brda,,,Bydgoszcz,Bydgoszcz,Poland,,1960,25,340,8.8,8.8,80.6,9.2,26303,3923,Hydroelectricity,,,3: Fair,17.962917,53.332917
,Wloclawek,Wisla,,,Wloclawek,Wloclawek,Poland,,1970,24,1200,56.8,56.8,408,7.2,967587,170890,Hydroelectricity,,,2: Good,19.134583,52.662083
,Debe,Narew,,,Legionowo,Warszawa,Poland,,1963,19,450,15.7,15.7,94.3,6,332049,68571,Recreation,,,3: Fair,20.924583,52.490417
,Jeziorsko,Warta,,,Uniejow,Sieradz,Poland,,1990,20,2720,35.8,35.8,202.8,5.7,46797,9014,Irrigation,,,3: Fair,18.70875,51.85625
,Sulejow,Pilica,,,Tomaszow Mazowiecki,Piotrkow,Poland,,1974,21,1210,17.1,17.1,84.2,4.9,28768,4930,Water supply,,,3: Fair,20.000417,51.47375
,Slup,Nysa Szalona,,,Legnica,Legnica,Poland,,1978,21,940,2.8,2.8,38.6,13.8,2793,381,Water supply,,,2: Good,16.10875,51.099583
,Lesna,Kwisa,,,Luban Slaski,Jelenia Gora,Poland,,1906,45,130,0.8,0.8,15,18.8,2309,306,Hydroelectricity,,,2: Good,15.289583,51.032917
,Zlotniki,Kwisa,,,Luban Slaski,Jelenia Gora,Poland,,1924,36,168,0.7,0.7,12.4,17.7,2202,291,Hydroelectricity,,,2: Good,15.33375,51.022083
,Wiory,Swislina,,,Ostrowiec Swietokrzyski,Kielce,Poland,,2004,26,252,2.2,2.2,35,15.9,2975,617,Water supply,,,2: Good,21.19625,51.019583
,Pilchowice,Bobr,,,Lwowek Slaski,JeleniaGora,Poland,,1912,69,270,1.1,1.1,54,49.1,9811,1201,Flood control,,,2: Good,15.647083,50.96625
,Mietkow,Bystrzyca,,,Wroclaw,Wroclaw,Poland,,1986,17,3220,7.8,7.8,70,9,5367,718,Navigation,,,2: Good,16.642083,50.95375
,Dobromierz,Strzegomka,,,Dobromierz,Walbrzych,Poland,,1988,28,528,0.9,0.9,11.3,12.6,641,82,Water supply,,,2: Good,16.242083,50.907083
,Nielisz,,,,,,Poland,,1997,13,-99,4.4,4.4,19.5,4.4,6483,1373,Flood control,,,2: Good,23.03375,50.804583
,Josefuv Dul,Kamenice,,,Jablonec nad Nisou,North Bohemia,Czech Republic,,1982,44,360,1.1,1.1,24.6,22.4,158,20,Water supply,,,2: Good,15.192083,50.795417
,Bukowka,Bobr,,,Lubawka,JeleniaGora,Poland,,1988,38,300,1.3,1.3,16.8,12.9,503,60,Water supply,,,2: Good,15.950417,50.71625
